date,exchangerate
2012-01,76.97
2012-02,78.45
2012-03,82.43
2012-04,81.49
2012-05,79.7
2012-06,79.32
2012-07,79.02
2012-08,78.66
2012-09,78.17
2012-10,78.97
2012-11,80.87
2012-12,83.64
2013-01,89.18
2013-02,93.21
2013-03,94.75
2013-04,97.71
2013-05,101.08
2013-06,97.43
2013-07,99.71
2013-08,97.87
2013-09,99.24
2013-10,97.85
2013-11,100.03
2013-12,103.46
2014-01,103.94
2014-02,102.13
2014-03,102.27
2014-04,102.56
2014-05,101.79
2014-06,102.05
2014-07,101.72
2014-08,102.96
2014-09,107.09
2014-10,108.06
2014-11,116.22
2014-12,119.4
2015-01,118.24
2015-02,118.57
2015-03,120.39
2015-04,119.55
2015-05,120.74
2015-06,123.75
2015-07,123.23
2015-08,123.23
2015-09,120.22
2015-10,120.06
2015-11,122.54
2015-12,121.84
2016-01,118.25
2016-02,115.02
2016-03,113.07
2016-04,109.88
2016-05,109.15
2016-06,105.49
2016-07,103.9
2016-08,101.27
2016-09,102.04
2016-10,103.82
2016-11,108.18
2016-12,115.95
2017-01,114.73
2017-02,113.06
2017-03,113.01
2017-04,110.06
2017-05,112.21
2017-06,110.91
2017-07,112.44
2017-08,109.91
2017-09,110.68
2017-10,112.96
2017-11,112.92
2017-12,112.97
2018-01,110.77
2018-02,107.82
2018-03,106
2018-04,107.43
2018-05,109.69
2018-06,110.03
2018-07,111.37
2018-08,111.06
2018-09,111.89
2018-10,112.78
2018-11,113.37
2018-12,112.45
2019-01,108.95
2019-02,110.36
2019-03,111.21
2019-04,111.66
2019-05,109.83
2019-06,108.06
2019-07,108.22
2019-08,106.27
2019-09,107.41
2019-10,108.12
2019-11,108.86
2019-12,109.18
2020-01,109.34
2020-02,109.96
2020-03,107.29
2020-04,107.93
2020-05,107.31
2020-06,107.56
2020-07,106.78
2020-08,106.04
2020-09,105.74
2020-10,105.24
2020-11,104.4
2020-12,103.82
2021-01,103.7
2021-02,105.36
2021-03,108.65
2021-04,109.13
2021-05,109.19
2021-06,110.11
2021-07,110.29
2021-08,109.84
2021-09,110.17
2021-10,113.1
2021-11,114.13
2021-12,113.87
